,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
224512,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,26,63,금,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
224535,남,교차로삼지,흐림,건조,포장 건조,아니오,승용차,보행자,평지,좌 커브곡각,좌,시도,교차로내,안전운전의무불이행,기타불명,보행자,차도통행중,차대사람 차도통행중,아니오,18,69,금,야,비사업용 승용차,비사업용,보행자,보행자,남,좌회전중,보행자 마주보고통행,보행자,0.1168
224586,남,교차로아님,맑음,건조,포장 건조,아니오,이륜차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전모,보행자,기타불명,차대사람,아니오,17,65,토,주,이륜차,이륜차,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.1168
224666,남,교차로아님,맑음,젖음습기,포장 젖음습기,아니오,승용차,보행자,평지,직선,직선,일반국도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,47,67,화,주,사업용 개인택시,사업용,보행자,보행자,여,직진중,보행자 길가장자리구역통행,보행자,0.0068
224829,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,60,64,금,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.0068
224863,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,67,80,토,야,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
224958,남,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로부근,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,79,62,월,주,비사업용 승용차,비사업용,보행자,보행자,여,직진중,보행자 기타불명,보행자,0.0068
225020,남,교차로삼지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,37,66,화,야,사업용 렌터카,사업용,보행자,보행자,여,좌회전중,보행자 횡단보도외,보행자,0.1168
225084,남,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,일반국도,교차로내,교차로통행방법위반,안전벨트카시트,보행자,기타불명,차대사람,아니오,52,69,목,야,비사업용 승용차,비사업용,보행자,보행자,남,좌회전중,보행자 기타불명,보행자,0.1168
233013,여,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,53,76,수,주,비사업용 승용차,비사업용,보행자,보행자,여,좌회전중,보행자 길가장자리구역통행,보행자,0.0068
233045,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,29,77,수,야,사업용 렌터카,사업용,보행자,보행자,여,직진중,보행자 길가장자리구역통행,보행자,0.0068
233110,남,교차로아님,맑음,건조,포장 건조,아니오,자전거,보행자,오르막,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,15,74,토,야,자전거,자전거,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.0068
233743,남,교차로사지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,우 커브곡각,우,시도,교차로횡단보도내,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,26,72,화,야,비사업용 승용차,비사업용,보행자,보행자,남,우회전중,보행자 횡단보도내,보행자,0.0068
233775,남,교차로사지,비,젖음습기,포장 젖음습기,아니오,승용차,보행자,평지,우 커브곡각,우,시도,교차로횡단보도내,신호위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,64,68,화,야,비사업용 승용차,비사업용,보행자,보행자,남,우회전중,보행자 횡단보도내,보행자,0.1168
233777,남,교차로삼지,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,교차로내,보행자보호의무위반,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,63,72,화,주,비사업용 승용차,비사업용,보행자,보행자,여,좌회전중,보행자 횡단보도내,보행자,0.1168
234282,여,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,34,63,목,야,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 횡단보도외,보행자,1.0
234439,남,교차로아님,맑음,건조,포장 건조,아니오,승용차,보행자,평지,직선,직선,시도,기타단일로,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,51,71,일,야,사업용 법인택시,사업용,보행자,보행자,남,기타불명,보행자 기타불명,보행자,0.0068
234649,남,교차로아님,맑음,건조,포장 건조,아니오,화물차,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,길가장자리구역통행중,차대사람 길가장자리구역통행중,아니오,54,82,토,주,비사업용 화물차,비사업용,보행자,보행자,여,후진중,보행자 등지고통행,보행자,0.0068
